Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET Users,200,5,5,7,7,8,2,9,0.000%,3.34986,275.87,0.40
GET User by ID,200,1,1,2,2,3,0,3,0.000%,3.35025,1.09,0.40
POST Create User,200,2,3,3,4,5,1,7,0.500%,3.35025,1.06,1.02
PUT Update User,200,2,3,3,3,4,1,4,0.500%,3.35031,1.03,1.05
TOTAL,800,2,3,6,6,7,0,9,0.250%,13.39787,279.01,2.87
