Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Users,50,4,2,8,1.22,0.000%,1.70039,96.47,0.20,58097.2
GET User by ID,50,1,1,3,0.61,0.000%,1.70062,0.54,0.20,323.2
POST Create User,50,2,1,6,0.87,0.000%,1.70056,0.54,0.52,323.6
PUT Update User,50,2,1,4,0.70,2.000%,1.70051,0.52,0.53,314.1
TOTAL,200,2,1,8,1.43,0.500%,6.79902,98.03,1.46,14764.5
